holdtime1,holdtime2,holdtime3,holdtime4,holdtime5,holdtime6,holdtime7,holdtime8,holdtime9,holdtime10,holdtime11,holdtime12,holdtime13,holdtime14,meanholdtime,meanpressure,meanfingerarea,user_id
0.538793,0.462222,0.362903,0.27451,0.300366,0.384259,0.430147,0.46729,0.24,0.374429,0.112857,0.431193,0.408377,0.431925,0.44703,0.387546,0.364089,1
0.435345,0.382222,0.354839,0.285714,0.106227,0.328704,0.363971,0.485981,0.344,0.365297,0.165714,0.380734,0.581152,0.380282,0.423762,0.445704,0.369322,1
0.478448,0.453333,0.399194,0.338936,0.340659,0.375,0.338235,0.345794,0.296,0.365297,0.138571,0.426606,0.429319,0.469484,0.454455,0.464092,0.371658,1
0.396552,0.444444,0.415323,0.338936,0.3663,0.416667,0.404412,0.640187,0.276,0.410959,0.178571,0.389908,0.581152,0.488263,0.522772,0.39723,0.396828,1
0.469828,0.453333,0.290323,0.271709,0.340659,0.361111,0.408088,0.635514,0.324,0.378995,0.164286,0.362385,0.701571,0.413146,0.493564,0.455577,0.365646,1
0.357759,0.44,0.366935,0.254902,0.282051,0.467593,0.533088,0.556075,0.236,0.410959,0.16,0.490826,0.382199,0.450704,0.476238,0.47677,0.523768,1
0.375,0.44,0.403226,0.246499,0.263736,0.393519,0.363971,0.551402,0.312,0.278539,0.174286,0.458716,0.47644,0.43662,0.451485,0.396576,0.360195,1
0.418103,0.364444,0.334677,0.302521,0.358974,0.425926,0.360294,0.476636,0.288,0.333333,0.152857,0.426606,0.617801,0.460094,0.465347,0.412109,0.37901,1
0.405172,0.417778,0.334677,0.288515,0.300366,0.375,0.305147,0.383178,0.28,0.383562,0.165714,0.541284,0.554974,0.370892,0.442574,0.428485,0.362531,1
0.353448,0.364444,0.266129,0.327731,0.245421,0.458333,0.492647,0.462617,0.3,0.461187,0.127143,0.293578,0.581152,0.384977,0.439109,0.399243,0.342377,1
0.405172,0.328889,0.451613,0.355742,0.333333,0.421296,0.375,0.514019,0.272,0.484018,0.14,0.486239,0.638743,0.469484,0.50495,0.505685,0.411188,1
0.439655,0.324444,0.326613,0.378151,0.304029,0.430556,0.404412,0.46729,0.324,0.534247,0.152857,0.417431,0.497382,0.549296,0.49703,0.484957,0.414864,1
0.37069,0.377778,0.483871,0.344538,0.490842,0.458333,0.375,0.551402,0.384,0.515982,0.194286,0.389908,0.633508,0.521127,0.568317,0.487624,0.408074,1
0.400862,0.453333,0.487903,0.308123,0.344322,0.444444,0.463235,0.556075,0.356,0.461187,0.148571,0.545872,0.560209,0.516432,0.549505,0.43134,0.367203,1
0.405172,0.44,0.399194,0.252101,0.326007,0.416667,0.389706,0.46729,0.32,0.410959,0.181429,0.536697,0.507853,0.633803,0.510891,0.441352,0.35574,1
0.439655,0.324444,0.379032,0.310924,0.336996,0.467593,0.367647,0.462617,0.316,0.388128,0.154286,0.481651,0.52356,0.535211,0.486139,0.455061,0.367764,1
0.362069,0.333333,0.354839,0.308123,0.435897,0.486111,0.544118,0.509346,0.392,0.616438,0.167143,0.541284,0.560209,0.553991,0.569307,0.43583,0.39471,1
0.405172,0.417778,0.516129,0.344538,0.326007,0.375,0.422794,0.542056,0.344,0.360731,0.131429,0.431193,0.544503,0.42723,0.497525,0.512376,0.426327,1
0.327586,0.342222,0.427419,0.285714,0.410256,0.342593,0.448529,0.537383,0.312,0.378995,0.181429,0.458716,0.544503,0.577465,0.50396,0.335564,0.30185,1
0.431034,0.502222,0.362903,0.344538,0.443223,0.328704,0.492647,0.429907,0.356,0.438356,0.15,0.298165,0.518325,0.42723,0.49901,0.37117,0.30864,1
0.448276,0.528889,0.435484,0.308123,0.373626,0.467593,0.415441,0.546729,0.336,0.447489,0.16,0.46789,0.481675,0.530516,0.541584,0.435176,0.388137,1
0.37069,0.502222,0.520161,0.305322,0.3663,0.342593,0.433824,0.514019,0.28,0.374429,0.144286,0.582569,0.528796,0.596244,0.527723,0.489963,0.399725,1
0.409483,0.333333,0.370968,0.308123,0.336996,0.337963,0.334559,0.514019,0.32,0.575342,0.128571,0.417431,0.554974,0.380282,0.460891,0.443364,0.354962,1
0.435345,0.471111,0.330645,0.341737,0.399267,0.467593,0.408088,0.514019,0.416,0.538813,0.188571,0.5,0.507853,0.422535,0.55,0.442849,0.385022,1
0.512931,0.44,0.362903,0.294118,0.333333,0.541667,0.360294,0.471963,0.412,0.479452,0.161429,0.509174,0.497382,0.43662,0.524257,0.443037,0.396267,1
0.482759,0.466667,0.415323,0.254902,0.355311,0.439815,0.404412,0.420561,0.336,0.410959,0.131429,0.504587,0.591623,0.596244,0.513861,0.459224,0.381907,1
0.465517,0.244444,0.370968,0.296919,0.340659,0.328704,0.419118,0.462617,0.316,0.488584,0.142857,0.417431,0.554974,0.333333,0.45099,0.462922,0.362188,1
